,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Phase Created,Phase Demolished,Height,Render Appearance,Elevation from Level,Type Comments,Area,Volume,Depth,Label,Material,Width,Toe Depth,Toe Height,Cabinet Material,Door/Drawer Material,Handle Material,Panel Face Material,Burner Material,Range Material,Base Level,Base Offset,Column Location Mark,Column Style,Moves With Grids,Room Bounding,Top Level,Top Offset,Length,Structural Material,Enable Analytical Model,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,b,h,Section Shape,Cross-Section Rotation,End Level Offset,Orientation,Reference Level,Reference Level Elevation,Start Level Offset,Work Plane,Elevation at Bottom,Elevation at Top,End Extension,Join Status,Start Extension,y Justification,y Offset Value,yz Justification,z Justification,z Offset Value,Cut Length,End Connection,Start Connection,Stick Symbol Location,Structural Usage,Height Offset From Level,Perimeter,Absorptance,Roughness,Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Mark,Bowl/Basin Material,Seat Material,Counter Height,Fixture Material,Sink Material,Length - Leg 1,Length - Leg 2,Sink Location,Sink Location To Wall,Sink Opening Depth,Sink Opening Width,Counter Thickness,Counter Top Material,Angle,Offset,Corner Mullion,Position,Profile,Width on side 1,Width on side 2,Trim Thickness,Trim Width,Frame Material,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Lateral Offset,Down arrow,Down label,Down text,Show Up arrow in all views,Up arrow,Up label,Up text,Maximum Riser Height,Minimum Tread Depth,Extend Below Base,Function,Landing Overlap,Monolithic Stairs,Underside of Winder,Break Symbol in Plan,Text Font,Text Size,Monolithic Material,Riser Material,Stringer Material,Tread Material,Begin with Riser,End with Riser,Riser Thickness,Riser Type,Riser to Tread Connection,Landing Carriage Height,Left Stringer,Middle Stringers,Open Stringer Offset,Right Stringer,Stringer Carriage Height,Stringer Height,Stringer Thickness,Trim Stringers at Top,Apply Nosing Profile,Nosing Length,Nosing Profile,Tread Thickness,Rebar Cover,Diameter,Offset Base,Offset Top,Seat/Back Material,Base Material,Top Material,Cushion Material,Center Width,Mattress Material,Drawer Material,Dresser Material,Knob Material,Tubing Material,Sofa Material,Desk-Body,Handle/Leg Material,Centre Piece,Chair Side Spacing,Leg Spacing Length,Leg Spacing Width,Leg Width,Table Height,Table Top Thickness,Vis - End Chairs,Keynote,Material Chair Covering,Material Chair Structure,Material Table,Extrusion End,Extrusion Start,Level Offset,Related to Mass,Fascia Depth,Rafter Cut,Slope,Default Thickness,Span Direction,Structural,Display in Hidden Views,Sill Height,Head Height,Wall Closure,Trim Projection Ext,Trim Projection Int,Type Mark,Door Material,Rail Width - Base,Rail Width - Top,Stile Width - Hinge,Stile Width - Latch,Trim Projection,Default Sill Height,Window Inset,Frame Exterior Material,Frame Interior Material,Glass Pane Material,Sash,Trim Projection - Ext.,Trim Projection - Int.,Trim Width - Exterior,Trim Width - Interior,Sash Material,Trim Exterior Material,Trim Interior Material,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Wrapping at Ends,Wrapping at Inserts,Rebar Cover - Exterior Face,Rebar Cover - Interior Face
294100,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.42 m²,0.02 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,05 3kat,0.00,No,0,None,0.00,No,2.80,0,0,,
294605,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.70 m²,0.03 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.32,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,05 3kat,0.00,No,0,None,0.00,No,2.80,0,0,,
420397,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,1.38 m²,0.07 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.60,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
420398,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
420399,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,1.38 m²,0.07 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.60,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
420400,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
420401,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
420402,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425401,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,1.38 m²,0.07 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.60,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425402,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425403,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,1.38 m²,0.07 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.60,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425404,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425405,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425406,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,02 zemin kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425687,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,1.38 m²,0.07 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.60,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,03 1kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425688,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,03 1kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425689,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,1.38 m²,0.07 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.60,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,03 1kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425690,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,03 1kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425691,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,03 1kat,0.00,No,0,None,0.00,No,2.30,0,0,,
425692,None,OST_Walls,duvarbaca,duvarbaca,duvarbaca,duvarbaca,duvarbaca,Basic Wall,,,,,,New Construction,None,,,,,0.23 m²,0.01 m³,,,,0.05,,,,,,,,,,0.00,,,,Yes,,0.00,0.15,111436,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,1,,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,03 1kat,0.00,No,0,None,0.00,No,2.30,0,0,,
