,Family,Type,Height Offset From Level,Room Bounding,Area,Perimeter,Volume,Design Option,Category,Family and Type,Type Id,Phase Created,Phase Demolished,Absorptance,Roughness,Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Type Name,Family Name,Spacing Axis 1,Spacing Axis 2,Horizontal Profile Offset,Vertical Profile Offset,Length,Angle,Profile,Material,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Height,Render Appearance,Render Appearance Properties,Elevation from Level,Default Elevation,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Type Comments,Depth,Width,Washer Material,Label,Handle,Rear Clearance,Top Door Height,Dishwasher Material,Panel Face Material,Burner Material,Range Material,Microwave Material,Eccentricity,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Enable Analytical Model,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Structural Material,Structural Usage,Mark,Toilet - Bowl/Basin Material,Toilet - Seat Material,Top Of Counter,Basin Material,Faucet Material,Tub Material,Basin Rim Arc,Enclosure Track Depth,Basin Arc,Basin Drain,Basin Length,Basin Rim Depth,Basin Rim Thickness,Basin Thickness,Basin Width,Enclosure Cap,Enclosure Glass Thickness,Enclosure Height,Counter Height,Sink Material,Electrical Data,Calculate Coefficient of Utilization,Light Source Symbol Size,Ballast Number of Poles,Ballast Voltage,Lamp,Apparent Load,Diffuser Material,Light Box Material,At a distance,Ballast Loss,Color Filter,Dimming Lamp Color Temperature Shift,Efficacy,Emit Shape Visible in Rendering,Emit from Circle Diameter,Illuminance,Initial Color,Initial Color Temperature,Initial Intensity,Initial Light Intensity Input Method,Lamp Lumen Depreciation,Lamp Tilt Loss,Light Loss Factor,Light Loss Input Method,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Surface Depreciation Loss,Temperature Color,Temperature Loss,Total Light Loss Factor,Voltage Loss,Wattage,length,Light Source Symbol Length,Spot Beam Angle,Spot Field Angle,Tilt Angle,Base Offset,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Lateral Offset,Position,Base Level,Desired Stair Height,Top Level,Top Offset,Actual Number of Risers,Actual Riser Height,Actual Tread Depth,Desired Number of Risers,Tread/Riser Start Number,Maximum Riser Height,Minimum Run Width,Minimum Tread Depth,Construction Method,Function,Landing Type,Run Type,Cut Mark Type,Left Lateral Offset,Left Support,Left Support Type,Middle Support,Middle Support Number,Middle Support Type,Right Lateral Offset,Right Support,Right Support Type,Rebar Cover,Moves With Grids,Offset Base,Offset Top,Description,Leg Finish,Table Top,TV,Height of TV,Length of TV,Width of TV,Foot,Glass,Metal,Base Offset From Level,Cutoff Level,Cutoff Offset,Related to Mass,Fascia Depth,Maximum Ridge Height,Rafter Cut,Rafter or Truss,Slope,Default Thickness,Span Direction,Structural,Display in Hidden Views,Sill Height,Head Height,Define Thermal Properties by,Wall Closure,Trim Projection Ext,Trim Projection Int,Trim Width,Type Mark,Door Material,Frame Material,Comments,Muntin,Rail Width - Base,Rail Width - Center,Rail Width - Head,Stile Width,Trim Projection Ext.,Trim Projection Int.,Rail Width - Top,Stile Width - Hinge,Stile Width - Latch,Default Sill Height,Window Inset,Glass Pane Material,Sash Material,Projection,Rough Opening,Sash,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Wrapping at Ends,Wrapping at Inserts,Rebar Cover - Exterior Face,Rebar Cover - Interior Face
156485,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",,Yes,450 SF,,450.19 CF,None,OST_Walls,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Foundation - 12"" Concrete",Basic Wall,,,,,"52' - 8 1/4""",,,,,,,,,,,,,,A1010200,Foundation Walls,,,,,"1' - 0""",,,,,,,,,,,,,,,,Yes,,Rebar Cover 1,,,,,18939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2' - 0""",,,,,,,,,,,,,,,,,,,,,,,,"-1' - 0""",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,first floor,"0""",No,"9' - 0""",0,0,Rebar Cover 1,Rebar Cover 1
178009,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",,Yes,128 SF,,127.50 CF,None,OST_Walls,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Foundation - 12"" Concrete",Basic Wall,,,,,"15' - 2""",,,,,,,,,,,,,,A1010200,Foundation Walls,,,,,"1' - 0""",,,,,,,,,,,,,,,,Yes,,Rebar Cover 1,,,,,18939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2' - 0""",,,,,,,,,,,,,,,,,,,,,,,,"-1' - 0""",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,first floor,"0""",No,"9' - 0""",0,0,Rebar Cover 1,Rebar Cover 1
178578,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",,Yes,13 SF,,12.96 CF,None,OST_Walls,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Foundation - 12"" Concrete",Basic Wall,,,,,"1' - 5 1/4""",,,,,,,,,,,,,,A1010200,Foundation Walls,,,,,"1' - 0""",,,,,,,,,,,,,,,,Yes,,Rebar Cover 1,,,,,18939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2' - 0""",,,,,,,,,,,,,,,,,,,,,,,,"-1' - 0""",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,first floor,"0""",No,"9' - 0""",0,0,Rebar Cover 1,Rebar Cover 1
170964,"Retaining - 12"" Concrete","Retaining - 12"" Concrete",,No,259 SF,,258.74 CF,None,OST_Walls,"Retaining - 12"" Concrete","Retaining - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Retaining - 12"" Concrete",Basic Wall,,,,,"27' - 0""",,,,,,,,,,,,,,,,,,,,"1' - 0""",,,,,,,,,,,,,,,,No,,,,,,,18942,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5' - 2 3/4""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,None,"0""",No,"10' - 2 3/4""",0,0,,
146475,Exterior Walls,Exterior Walls,,Yes,306 SF,,175.94 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"23' - 5 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 1 1/2""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
146477,Exterior Walls,Exterior Walls,,Yes,317 SF,,179.77 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"24' - 10 3/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 3""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
158400,Exterior Walls,Exterior Walls,,Yes,189 SF,,103.82 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"21' - 2 1/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 3 3/4""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
177274,Exterior Walls,Exterior Walls,,Yes,49 SF,,26.75 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"7' - 11""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 0""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
177319,Exterior Walls,Exterior Walls,,Yes,199 SF,,112.05 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"16' - 1 1/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 0""",No,0,attic,"0""",No,"9' - 0""",0,0,,
177459,Exterior Walls,Exterior Walls,,Yes,23 SF,,14.26 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"1' - 5""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
205053,Exterior Walls,Exterior Walls,,Yes,39 SF,,21.96 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"3' - 5 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 3 1/4""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
206435,Exterior Walls,Exterior Walls,,Yes,517 SF,,287.11 CF,None,OST_Walls,Exterior Walls,Exterior Walls,New Construction,None,0.1,1,,0,None,Exterior Walls,Basic Wall,,,,,"53' - 1 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7 1/2""",,,,,,,,,,,,,,,,No,,,,,,,18960,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"-1' - 4 1/4""",No,0,attic,"0""",Yes,"9' - 0""",0,0,,
158222,Chimney,Chimney,,Yes,46 SF,,27.03 CF,None,OST_Walls,Chimney,Chimney,New Construction,None,0.1,1,,0,None,Chimney,Basic Wall,,,,,"1' - 8 3/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7""",,,,,,,,,,,,,,,,No,,,,,,,18944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"6' - 0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,attic,"0""",No,"23' - 0""",0,0,,
158223,Chimney,Chimney,,Yes,102 SF,,59.26 CF,None,OST_Walls,Chimney,Chimney,New Construction,None,0.1,1,,0,None,Chimney,Basic Wall,,,,,"5' - 0""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7""",,,,,,,,,,,,,,,,No,,,,,,,18944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"6' - 0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,attic,"0""",No,"23' - 0""",0,0,,
158224,Chimney,Chimney,,Yes,40 SF,,22.95 CF,None,OST_Walls,Chimney,Chimney,New Construction,None,0.1,1,,0,None,Chimney,Basic Wall,,,,,"1' - 8 3/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7""",,,,,,,,,,,,,,,,No,,,,,,,18944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"6' - 0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,attic,"0""",No,"23' - 0""",0,0,,
158580,Chimney,Chimney,,Yes,105 SF,,60.98 CF,None,OST_Walls,Chimney,Chimney,New Construction,None,0.1,1,,0,None,Chimney,Basic Wall,,,,,"5' - 0""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"7""",,,,,,,,,,,,,,,,No,,,,,,,18944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"6' - 0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,attic,"0""",No,"23' - 0""",0,0,,
146497,Interior Walls,Interior Walls,,Yes,70 SF,,26.27 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"13' - 5""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,0,Walls,"0""",No,"8' - 0""",0,0,,
146591,Interior Walls,Interior Walls,,Yes,32 SF,,12.13 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"4' - 5""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
146619,Interior Walls,Interior Walls,,Yes,54 SF,,20.13 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"8' - 9 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
146655,Interior Walls,Interior Walls,,Yes,61 SF,,18.82 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"14' - 4 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
146659,Interior Walls,Interior Walls,,Yes,50 SF,,18.63 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"9' - 11 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
146663,Interior Walls,Interior Walls,,Yes,139 SF,,51.77 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"19' - 11 3/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
146865,Interior Walls,Interior Walls,,Yes,52 SF,,19.63 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"6' - 11""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
146890,Interior Walls,Interior Walls,,Yes,56 SF,,21.09 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"7' - 6 1/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
147029,Interior Walls,Interior Walls,,Yes,53 SF,,19.94 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"7' - 1 3/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
147108,Interior Walls,Interior Walls,,Yes,53 SF,,19.94 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"7' - 1 3/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
147257,Interior Walls,Interior Walls,,Yes,30 SF,,11.31 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"10' - 6 1/4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
147421,Interior Walls,Interior Walls,,Yes,103 SF,,38.77 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"13' - 5""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
147471,Interior Walls,Interior Walls,,Yes,32 SF,,12.13 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"4' - 5""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,0,Walls,"0""",No,"8' - 0""",0,0,,
155767,Interior Walls,Interior Walls,,Yes,20 SF,,7.50 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"2' - 6""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
155802,Interior Walls,Interior Walls,,Yes,10 SF,,3.75 CF,None,OST_Walls,Interior Walls,Interior Walls,New Construction,None,0.1,1,,0,None,Interior Walls,Basic Wall,,,,,"1' - 7 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"4 1/2""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first floor,"0""",No,3,Walls,"0""",No,"8' - 0""",0,0,,
