,Family,Type,Height Offset From Level,Room Bounding,Area,Perimeter,Volume,Design Option,Category,Family and Type,Type Id,Phase Created,Phase Demolished,Absorptance,Roughness,Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Type Name,Family Name,Spacing Axis 1,Spacing Axis 2,Horizontal Profile Offset,Vertical Profile Offset,Length,Angle,Profile,Material,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Height,Render Appearance,Render Appearance Properties,Elevation from Level,Default Elevation,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Type Comments,Depth,Width,Washer Material,Label,Handle,Rear Clearance,Top Door Height,Dishwasher Material,Panel Face Material,Burner Material,Range Material,Microwave Material,Eccentricity,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Enable Analytical Model,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Structural Material,Structural Usage,Mark,Toilet - Bowl/Basin Material,Toilet - Seat Material,Top Of Counter,Basin Material,Faucet Material,Tub Material,Basin Rim Arc,Enclosure Track Depth,Basin Arc,Basin Drain,Basin Length,Basin Rim Depth,Basin Rim Thickness,Basin Thickness,Basin Width,Enclosure Cap,Enclosure Glass Thickness,Enclosure Height,Counter Height,Sink Material,Electrical Data,Calculate Coefficient of Utilization,Light Source Symbol Size,Ballast Number of Poles,Ballast Voltage,Lamp,Apparent Load,Diffuser Material,Light Box Material,At a distance,Ballast Loss,Color Filter,Dimming Lamp Color Temperature Shift,Efficacy,Emit Shape Visible in Rendering,Emit from Circle Diameter,Illuminance,Initial Color,Initial Color Temperature,Initial Intensity,Initial Light Intensity Input Method,Lamp Lumen Depreciation,Lamp Tilt Loss,Light Loss Factor,Light Loss Input Method,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Surface Depreciation Loss,Temperature Color,Temperature Loss,Total Light Loss Factor,Voltage Loss,Wattage,length,Light Source Symbol Length,Spot Beam Angle,Spot Field Angle,Tilt Angle,Base Offset,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Lateral Offset,Position,Base Level,Desired Stair Height,Top Level,Top Offset,Actual Number of Risers,Actual Riser Height,Actual Tread Depth,Desired Number of Risers,Tread/Riser Start Number,Maximum Riser Height,Minimum Run Width,Minimum Tread Depth,Construction Method,Function,Landing Type,Run Type,Cut Mark Type,Left Lateral Offset,Left Support,Left Support Type,Middle Support,Middle Support Number,Middle Support Type,Right Lateral Offset,Right Support,Right Support Type,Rebar Cover,Moves With Grids,Offset Base,Offset Top,Description,Leg Finish,Table Top,TV,Height of TV,Length of TV,Width of TV,Foot,Glass,Metal,Base Offset From Level,Cutoff Level,Cutoff Offset,Related to Mass,Fascia Depth,Maximum Ridge Height,Rafter Cut,Rafter or Truss,Slope,Default Thickness,Span Direction,Structural,Display in Hidden Views,Sill Height,Head Height,Define Thermal Properties by,Wall Closure,Trim Projection Ext,Trim Projection Int,Trim Width,Type Mark,Door Material,Frame Material,Comments,Muntin,Rail Width - Base,Rail Width - Center,Rail Width - Head,Stile Width,Trim Projection Ext.,Trim Projection Int.,Rail Width - Top,Stile Width - Hinge,Stile Width - Latch,Default Sill Height,Window Inset,Glass Pane Material,Sash Material,Projection,Rough Opening,Sash,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Wrapping at Ends,Wrapping at Inserts,Rebar Cover - Exterior Face,Rebar Cover - Interior Face
159377,"24"" x 48""","24"" x 48""",,,23 SF,,1.30 CF,None,OST_Windows,"24"" x 48""","24"" x 48""",New Construction,None,,,,,,"24"" x 48""",Double Hung,,,,,,,,,,first floor,,,Exterior Walls,"4' - 0""",,,,,B2020100,Windows,23.30.20.17.17.14,Double-Hung Windows,,,"2' - 6""",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3' - 0""","7' - 0""",0,0,,,,11,,,,,,,,,,,,,,"4' - 0"""," 3/4""",18439,36282,,,,,,,,,,,,,,,
191303,"24"" x 48""","24"" x 48""",,,23 SF,,1.30 CF,None,OST_Windows,"24"" x 48""","24"" x 48""",New Construction,None,,,,,,"24"" x 48""",Double Hung,,,,,,,,,,first floor,,,Exterior Walls,"4' - 0""",,,,,B2020100,Windows,23.30.20.17.17.14,Double-Hung Windows,,,"2' - 6""",,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3' - 0""","7' - 0""",0,0,,,,11,,,,,,,,,,,,,,"4' - 0"""," 3/4""",18439,36282,,,,,,,,,,,,,,,
159717,"36"" x 24""","36"" x 24""",,,21 SF,,1.21 CF,None,OST_Windows,"36"" x 24""","36"" x 24""",New Construction,None,,,,,,"36"" x 24""",Double Hung,,,,,,,,,,first floor,,,Exterior Walls,"3' - 0""",,,,,B2020100,Windows,23.30.20.17.17.14,Double-Hung Windows,,,"3' - 0""",,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4' - 0""","7' - 0""",0,0,,,,17,,,,,,,,,,,,,,"3' - 0"""," 3/4""",18439,36282,,,,,,,,,,,,,,,
222601,"54"" x 48""","54"" x 48""",,,57 SF,,3.59 CF,None,OST_Windows,"54"" x 48""","54"" x 48""",New Construction,None,,,,,,"54"" x 48""",Box_Bay_913,,,,,,,,,,first floor,,,Exterior Walls,"4' - 0""",,,,,B2020100,Windows,,,,,"3' - 0""",,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3' - 0""","7' - 0""",0,0,,,,19,,,,,,,,,,,,,,"3' - 0""",,,,"2' - 0""","2' - 5 1/2""",209150,,,,,,,,,,,,
157245,"Generic - 6""","Generic - 6""",,Yes,137 SF,,68.69 CF,None,OST_Walls,"Generic - 6""","Generic - 6""",New Construction,None,0.1,1,,0,None,"Generic - 6""",Basic Wall,,,,,"23' - 0""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"6""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,first floor,"0""",Yes,"8' - 0""",0,0,,
157327,"Generic - 6""","Generic - 6""",,Yes,119 SF,,59.65 CF,None,OST_Walls,"Generic - 6""","Generic - 6""",New Construction,None,0.1,1,,0,None,"Generic - 6""",Basic Wall,,,,,"17' - 0 1/2""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"6""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,first floor,"0""",Yes,"8' - 0""",0,0,,
157381,"Generic - 6""","Generic - 6""",,Yes,50 SF,,25.17 CF,None,OST_Walls,"Generic - 6""","Generic - 6""",New Construction,None,0.1,1,,0,None,"Generic - 6""",Basic Wall,,,,,"10' - 4""",,,,,,,,,,,,,,B2010,Exterior Walls,,,,,"6""",,,,,,,,,,,,,,,,No,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,0,first floor,"0""",Yes,"8' - 0""",0,0,,
156387,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",,Yes,216 SF,,216.07 CF,None,OST_Walls,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Foundation - 12"" Concrete",Basic Wall,,,,,"23' - 0""",,,,,,,,,,,,,,A1010200,Foundation Walls,,,,,"1' - 0""",,,,,,,,,,,,,,,,Yes,,Rebar Cover 1,,,,,18939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2' - 0""",,,,,,,,,,,,,,,,,,,,,,,,"-1' - 0""",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,first floor,"0""",No,"9' - 0""",0,0,Rebar Cover 1,Rebar Cover 1
156430,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",,Yes,284 SF,,281.97 CF,None,OST_Walls,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Foundation - 12"" Concrete",Basic Wall,,,,,"37' - 6 1/4""",,,,,,,,,,,,,,A1010200,Foundation Walls,,,,,"1' - 0""",,,,,,,,,,,,,,,,Yes,,Rebar Cover 1,,,,,18939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2' - 0""",,,,,,,,,,,,,,,,,,,,,,,,"-1' - 0""",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,first floor,"0""",No,"9' - 0""",0,0,Rebar Cover 1,Rebar Cover 1
156460,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",,Yes,200 SF,,199.85 CF,None,OST_Walls,"Foundation - 12"" Concrete","Foundation - 12"" Concrete",New Construction,None,0.1,1,,0,Concrete,"Foundation - 12"" Concrete",Basic Wall,,,,,"24' - 5 1/2""",,,,,,,,,,,,,,A1010200,Foundation Walls,,,,,"1' - 0""",,,,,,,,,,,,,,,,Yes,,Rebar Cover 1,,,,,18939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1' - 0""",,,,,,,,,,,,,,,,,,,,,,,,"-1' - 1 3/4""",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,"0""",No,3,first floor,"0""",No,"7' - 10 1/4""",0,0,Rebar Cover 1,Rebar Cover 1
